holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
0,290.4,0.0,0.0,29.13,0,0,2012-10-02,4219.27
0,286.51,0.0,0.0,4.0,0,0,2012-10-03,3465.21
0,289.57,0.0,0.0,17.39,0,0,2012-10-04,3884.39
0,281.67,0.0,0.0,75.0,0,0,2012-10-05,4414.71
0,277.7,0.0,0.0,60.36,0,0,2012-10-06,3349.05
0,276.77,0.0,0.0,82.38,0,0,2012-10-07,3145.57
1,277.28,0.0,0.0,14.39,0,0,2012-10-08,3551.3
0,282.88,0.0,0.0,71.91,0,0,2012-10-09,3918.27
0,281.39,0.0,0.0,84.26,0,0,2012-10-10,4250.35
0,278.88,0.0,0.0,55.78,0,0,2012-10-11,4109.89
0,281.08,0.0,0.0,68.26,0,0,2012-10-12,4204.53
0,277.35,0.0,0.0,21.04,0,0,2012-10-13,3007.17
0,283.21,0.0,0.0,81.42,0,0,2012-10-14,2895.08
0,282.64,0.0,0.0,69.81,0,0,2012-10-15,3291.04
0,283.04,0.0,0.0,41.96,0,0,2012-10-16,3868.3
0,287.6,0.0,0.0,50.67,0,0,2012-10-17,3785.83
0,284.96,0.0,0.0,90.43,0,0,2012-10-18,3814.17
0,280.4,0.0,0.0,89.37,0,0,2012-10-19,3485.45
0,281.55,0.0,0.0,87.87,0,0,2012-10-20,2762.85
0,280.26,0.0,0.0,75.0,0,0,2012-10-21,2571.33
0,286.26,0.0,0.0,41.2,0,0,2012-10-22,3201.6
0,285.39,0.0,0.0,76.22,0,0,2012-10-23,3669.17
0,287.32,0.0,0.0,88.83,0,0,2012-10-24,4084.88
0,285.11,0.0,0.0,89.32,0,0,2012-10-25,4279.86
0,277.28,0.0,0.0,89.72,0,0,2012-10-26,3564.49
0,275.26,0.0,0.0,58.61,0,0,2012-10-27,3148.17
0,274.75,0.0,0.0,56.91,0,0,2012-10-28,2387.91
0,275.41,0.0,0.0,65.65,0,0,2012-10-29,3649.04
0,276.45,0.0,0.0,62.87,0,0,2012-10-30,3808.52
0,275.99,0.0,0.0,13.48,0,0,2012-10-31,3747.65
0,275.74,0.0,0.0,20.96,0,0,2012-11-01,3894.22
0,277.38,0.0,0.0,53.17,0,0,2012-11-02,3943.22
0,273.43,0.0,0.0,60.91,0,0,2012-11-03,2881.61
0,276.48,0.0,0.0,90.0,0,0,2012-11-04,2337.88
0,276.86,0.0,0.0,55.19,0,0,2012-11-05,3592.71
0,277.25,0.0,0.0,92.8,0,0,2012-11-06,3257.03
0,277.67,0.0,0.0,90.0,0,0,2012-11-07,3621.02
0,277.81,0.0,0.0,83.7,0,0,2012-11-08,3909.65
0,278.84,0.0,0.0,24.26,0,0,2012-11-09,4020.78
0,279.36,0.0,0.0,46.91,0,0,2012-11-10,2882.35
0,282.6,0.0,0.0,77.58,0,0,2012-11-11,1919.46
1,273.96,0.0,0.0,93.12,0,0,2012-11-12,3045.25
0,267.67,0.0,0.0,73.79,0,0,2012-11-13,3845.5
0,272.05,0.0,0.0,35.57,0,0,2012-11-14,4133.43
0,278.21,0.0,0.0,68.5,0,0,2012-11-15,4005.73
